Stars,Review
1,To say that this is a huge disappointment would be an understatement. The entire film felt redundant. There was absolutely no real character development and hardly any characters at all. Even the returning characters somehow didn't even feel like characters at all. It felt rushed and forced. This could have been so much better.
1,"This is as bad as movie making gets, poor cast, poor acting, poor script (in fact terrible script) poor score - I got halfway and realised I would never get those 45mins of my life back and became enraged at myself for firstly spending $6.99 on iTunes and wasting my hard earned in such a manner. If you're still thinking of watching this movie, clearly I'm not making it clear, THIS MOVIE IS SERIOUSLY CRAP. It stinks so bad it's like taking out the garbage and the plastic bags breaks all over you, it's like finding a toe nail cutting in your pasta, it's the nauseus feeling you have after eating a prawn that's been out in the sun too long. I'm having more fun right now writing this than watching it as it plays in the background. You get the gist - my advice...get a few extra hours sleep."
1,Far too long and completely predictable.
1,Strange. Didn't really do anything for me.
1,"To be fair, I don't like Ettore Scola. I find him too politically correct and to be frank mushy. And this film is no exception: ""look how awful the awful fascists are and how wonderful the gay-freedom-loving-culture-buffs are"". No really you think so?Now Mastroianni and Loren are not bad actors, but they're not good enough that seeing them non-stop on the screen doesn't reveal their short-comings and cheap tricks.The only truly pleasant moment is in the very beginning when Italian newsreal of the time are presented: sheer madness! Hilarious in a crazy way."
1,"Only a mad German could make a film about anarchic dwarfs. It's not a comfortable watch either, and has a nasty, macabre element. There's also cruelty to animals which I cannot stand. I respect Herzog for making it, but I never want to see it again."
1,"My sincerest apologies to all my flixster buds who loved this one. Walter, I would like to add this baby to your burgeoning list of ""I could not sit through this"" movies. No kidding, Walter, I tried three times over three nights. Sorry, flixster friends. It must just be me."
1,"i quit at about 38minutes... the chop style scene shifts, blatant studio sets vs. outdoor footage, and sitcom dialogue were worse enough to ruin any suspension of disbelief.. but then started the neanderthal philosophy of gender relations, and the lady's descriptions of her emotions during the paris romance, which was totally not what was happening during those scenes. what a load"
1,Pretty lame you guys. Watch a better movie like contracted. It will have you on the edge of your toe nails from start to finish.
1,"Sure, it's a cute movie, but nothing works. Everything is excruciating, even with Jon Voight's somewhat decent acting as a German villain. It is one of the worst movies I have ever seen."
1,"Criminally dishonest, Karla is basically the headlines shot with zero inspiration and acted on auto-pilot. There's nothing very scandalous in all of this, except, of course, the whole purpose of the damn film. It barely offers any insight on Bernardo and Homolka's psychology, and prefers to show us some sickeningly unecessary sexual torture scenes only to satisfy those who simply couldn't get enough of what they heard on television. Simply put, when a studio picks such a horrifying story and ends up having it filmed with such banality, both sides are downright wrong the result is a film that shouldn't exist, period."
1,"You would think with the cast, this film would have some potential. WRONG.Â This movie just doesn't know what it wants to tell it's audience.Â Lights, Camera, ....What?"
1,"Oh my Gosh, who made this awful film that surprisingly featured male frontal nudity and Simon actually died in real life? Pretty much a typical B-movie really, only watch it if you've got more spare time"
1,Worst one of The Crow series I ever watched. Edward Furlong as the next Crow is average in his action sequences of this action-horror film.
1,"What's beyond the Poseidon Adventure? Nonsense. Beyond the Poseidon Adventure is an unnecessary sequel with a stupid plot which wasted the talent a great cast and made them look terrible. The idea of getting in to see what's inside of a collapsing ship was preposterous; the first movie works because there are people trying to find a way out, doing the opposite is foolish. The only reason for making this picture was money, I can't find another valid explanation."
1,"So bad it's almost good, but not quite."
1,"Swinging with The Finkels is bad movie. If you go into the movie knowing that, then you'll be fine, but you will have get used to stupid jokes and awkward moments. Ever since I saw Tangled starring the beautiful and talented Mandy Moore and The Hobbit starring the always amazing Martin Freeman, I've been wanting to see this movie. Unfortunately, this movie left me wanting to see them in a more fantastical setting with a smarter script and decent director at least."
1,"I stuck with this thinking surely the excitement will arrive soon. Unfortunately the most exciting scene happens in the first 5 minutes. It's all down hill from there. You watches flashes of light, the screen goes black and you glimpse a seal. Not even Halle berry in a bikini made this exciting. That's 2 hours I'll never get back!"
1,"This awful mid budget horror feels like the worst ever episode of the ""X-Files"", a dated plot about a teen who gains evil powers by viewing some found footage. There are two movies within the movie but the quality is so bad overall that it's hard to distinguish any of them. Christian Slater looks relatively healthy again so his mum might like watching this, nobody else will."
1,"Nothing to watch.. The script is too shallow, and nothing looks interesting in the stories of family members. Just I love the angles of the camera in some scenes. An hour & a half in vain.."
1,"Forgeting the low quality of the animation, since it's a low budget movie, what is left itÂ´s no very good. The characters have barely any personality or development and the story it's unnecessary complicated"
1,"I was curious when I saw the trailer for this movie. When I saw it, the only thing that got interesting, was the last 20 minutes. Apartment 143 is a boring horror film that didn't get me scared. The acting is dull, I just didn't care for the characters until we learn more about them when the last 20 minutes start, and there was a lot of plotholes which really bug me a lot. It's a movie filled with clichÃ©s that I seen before, and it's very forgettable."
1,i can sum it all up in 5 letters... -> sucks from top to bottomâ€_
1,"I'm not even sure why I try. I wouldn't have gotten this trash if it wasn't for my friend at the video store giving it to me for free because the original Zombie Diaries was a huge pile of shit. At least this one is a sliver of a better movie (it's hard to say that). This one deals with the military and very few civilian survivors left as the world has been overtaken by zombies. More zombies in this round but the acting could've been done better by my little neighborhood kids playing in the backyard. Overall, this is a second helping of shit pile from the first film."
1,"HORRIBLE MOVIE!!!!!!!!!!! Mandy Moore's character literally made me wanna punch her through the screen... The only ""good"" thing about it is being able to look at Kellan Lutz. I was surprised and disappointed to find out Dermot Mulroney produced it... I love him but I think he should stick to acting."
1,"Slow film - not worth the time. The music is pretty good, but otherwise it is a very slow and boring film"
1,"Everyonce in while a great silly movie made for kids and adults that is entertianingly enjoyable comes along..then you stop. You do not try to recreate the magic in a silly sequel, like this movie. The actting was bad, the graphics were lame and the story line ..never mind. I liked Lost Boys..but this..I dont like."
1,"The 1998 film The Prince of Egypt did better than this, and NOWHERE in the movie did it have talking animals--it didn't offend too many folks either. But this takes Babe and the Passion together and kills any hope of a faith-based movie in theaters anytime soon."
1,"Wow, this movie is bad. Not bad in a ""Troll 2"" so bad it's good kind of way, but bad in a ""Gigli"" kind of way. Nick Swardson is usually hilarious and a real bright spot in Adam Sandler's movies, but here he is god awful. He stars as Bucky Larson an idiot from Iowa who finds out his parents used to be porn stars. Upon learning he decides it's his destiny to be in porn and moves to Hollywood to fulfill his dream. I think I may have chuckled once during this and it was at a Nick Turturro line. This is probably the worst Happy Madison movie ever. Worse than ""Jack and Jill"", ""Dickie Roberts"", ""Benchwarmers"", and anything with Rob Schneider. I don't know why I thought this would be ok(my hopes weren't high, but I expected to at least laugh some), but this is a big letdown. If your a Swardson fan, just pop in a dvd of his stand up instead. This is the kind of movie that could make him lose fans."
1,"Follow up to the first film, pretty much the same plot, as a man tries to escape from a futuristic maximum security prison, this time orbiting way into space away from Earth. It's really quite dull, messy and campy."
1,"The first Leprechaun was a bizarre affair of pure cheese that was bad, but mildly amusing. This sequel on the other hand was bad, purely bad. Trying to build on the previous film, to yet more mediocre results, Leprechaun 2 fails to deliver on good bits of comedy horror. The script is poorly written, the comedic delivery is lazy, and overall this is just a rehash of old ideas. Leprechaun is a prime example of a sequel that doesn't work, not to mention that like its predecessor, it's almost as bad. There's nothing satisfactory about this sequel. If you enjoy good, cheesy horror comedies, there are far better films than this one. The problem with the Leprechaun films is that it goes so over board, and a lot of it repeats itself it becomes almost a clichÃ©. The idea is amusing, but the execution is poor. I don't understand why they would make a sequel to a bad comedy horror flick. This sequel doesn't try anything new and it's tiresome, lazy and ridiculous like all the other films. Leprechaun 2 is at least not as bad as so many others in the series, but it still is pretty bad. Oh well, the filmmakers knew what they were doing in delivering a film series that would make them tons of money by constantly delivering garbage. The sequels were simply a way to make a quick buck, with no real script substance, character development or good directing. This is the first awful sequel to a terrible film. Don't expect anything good watching this."
1,"I've always been an Eddie Murphy fan, but I must say, his movies lately have really stunk. ""A Thousand Words"" is the latest example of that, as this movie aims to be funny, sweet, and charming, and fails miserably. Murphy stars as Jack, a literary agent trying to sign a new age guru, Dr. Sinja(Cliff Curtis). Then a tree grows in Jack's front yard, and every time he speaks a leaf falls. Once all the leaves fall, the tree dies and so does Jack. Stupid? Very! Murphy tries to make the movie funny as he tries to communicate in weird ways. But, he never writes a note or sends a text message, something like this makes this movie with no logic, even more hard to believe. The acting is terrible as the supporting cast are all bad, and Murphy just looks like he is going through the motions and doesn't resemble the same guy he used to be. I'm all for comedians doing more family friendly movies, but at least make them entertaining. I doubt even kids like this movie. Heck, it has 0% on the rotten tomato meter. That alone should tell you to stay away, far away from this."
1,"I didn't quite understand the plot, the action, or the title of this dull action flick, which seemed to have a derivative style."
1,"If I did a ""Beowulf"" book report based on this Christopher Lambert film, I'd flunk."
1,"There are a few funny moments here and there. Other than that, this is just another dumb stoner film, glorifying drugs. I can't believe that one of my favorite actors started out in this crap fest."
1,"pretty terrible movie where everyone knows the movie is just a big joke so they all try to give the worst performance they can. whoever casted Eva Mendes in Hitch should have just watched this first and been like ""hmmm well Ms. Mendes, i see where youre coming from... but i gotta be honest. you are just AWFUL. sorry""..... anyway its kinda cool to see Alexis Arquette as a chick and then see this where he/she has like a goatee thing and what looks like the most obnoxiously 90's shirt ive ever seen"
1,"I am not sure why I even spent the time to watch this movie, but I knew what I was getting into."
1,i can't believe i'm giving such a low rating for a Newman- Woodward movie (especially Joanne was delightful). Was it a comedy though? It was a romantic nothing. A womanizing dick meets a dynamic tomboy who doesn't want to change but then she does and they fall in love.
1,"OH MY GOD! This movie is so bad that it deserves to be likeable for laughing at. Matthew McConaughey digs an extremely large hole to die in in this film. He is one of the worst actors ever. He was funny in Fool's Gold, but then he went to bed. This movie is one of the worst movies I've ever seen period. Damn I wish I could have seen this coming before I watched it! There is no reason why it should have been thought of!"
1,"Well...um...I thought the score was great and they used a Cocteau Twins song so that was a plus but otherwise....Â Let me put it this way, I'm the first to admit that I didn't understand everything about Donnie Darko but the makers of this didnt know ANYthing about it.Â It's like they cobbled together the most memorable moments and ideas from the first and then threw in half-assed storylines about meteors with weird side effects, a bitchy friend and disappearing children (which is never even resolved!)Â Now just in case this all sounds like disappointment it's not because I went into this with an open mind but lower than low expectations and it still didnt come close to matching."
1,"30 years on and we have a remake of the little known, but very weird film Long Weekend (1978). I saw the original when I was very young and at the end you just think WTF?! This is almost by the numbers remake, so I knew what was gong to happen, which effected my overall opinion. I remember the first being a lot more tense, scary and jumpy. This just didn't have the same impact. Check out the 78 version of you want some real creepy thrills!"
1,"Uninventive, even Bettis' performance cannot save this film"
1,Please stop....just stop.
1,There goes the same worst ones again. The jokes are spread further apart and the quality of writing seems down. Many of our favorite characters from previous films were missing.
1,"Caine was once asked if he had ever seen ""Jaws: The Revenge"" and famously replied ""No, but I've seen the house it built."" This truly is awful, opening with the killing of Sean Brody by yet another shark who seems somehow related to the original. Older brother Mike, now portrayed by Guest, seems to have aged backwards since the third movie and is working in the carribean with a crew of local stereotypes. Van Peebles terrible accent may have inspired Jar Jar Binks. The shark is clever enough to track down Mike but sadly not clever enough to finish him off, leaving it open for a sequel which thankfully never happened."
1,"Not that I expected much from a movie about a chimpanzee that plays baseball, but it's pretty obvious that whoever wrote and produced this film was banking on Matt LeBlanc's popularity at the time to sell tickets. It certainly isn't because there's a plot... or any humor... or really much of anything besides a bunch of idiots chasing a monkey around for an hour and a half. I always wondered if I might be missing something really cute by not watching this movie, but now I see I definitely was not."
1,"I swear I saw this movie several years ago and I thought I liked it, but watching it again today, I was like -- what was I thinking!? What a terrible waste of time. Yuck."
1,I'm sorry this is just one of the worst movies of all time. Something about me doesn't want to watch a horrible plot and Willem Dafoe sing 'Singin in the Rain'. Terrible acting and an embarrassment to filmmaking. Easily the worst movie I've ever seen.
1,Incredibly annoying zombie knock-off with third-rate direction and a fucking awful script. Not funny or scary. Skip.
1,"Obviously by the sixth entry of a franchise, scriptwriters seem to be scratching at the bottom of the barrel. This is the case with the sixth entry of the Hellraiser Franchise. Hellseeker is a wasted opportunity and feels like a made for TV film. People say this is worth watching because it brings back Kristy, the main character from the first three Hellraiser films back into the fold. The problem is, she's only back, but briefly. She plays an important role in this film, and the story does focus on her character, but if she's so important to the overall storyline, why is she on screen for less than 10 minutes? What a waste. The acting is pretty bad, even by direct to video standards, and the dialogue seems fake, and the interaction between the characters doesn't feel right. Also a thing that bothered me, was the virtual absence of the Cenobites, Pinhead shows up 35 minutes in and has barely enough screen time. Hellseeker is a terrible sequel, and is a waste of celluloid. Everything about this film is bad, not even Doug Bradley or Ashley Laurence where able to save this dreadful film. Clive Barker should have put his foot down, because this film is a mockery of Clive Barker's original masterwork. What makes this more insulting is that on the back of the DVD, it says that this film is far better than the original, yeah right."
1,"This film has horrible effects and doesn't even come close to the 1995 version. And what really bothers me is that the kid doesn't even get scared when he sees casper, he actually gets happy. That kid has some issues. Yeah it's not very good."
1,"It doesn't make any sense at all, slightly funny, but weird. Easily Forgettable."
1,Make no mistake...It's Pat is a terrible movie. The SNL stuff was funny and the concept is stretched as far as it goes but as big as a train wreck as this is...I kind of like it as being a mess. It's got bad jokes and has Ween in a bit part. This is almost like a cult as I know many women who love this but it is virtually stupid formula 1. setup of not knowing what sex Pat is. 2. Punchline. 3. Repeat over and over for the movie's duration. Add Dave Foley as another sexually confusing character and you've got something that is more stale than a rerun of SNL. At least it's funnier than SNL has been since the late 90's but that isn't saying anything at all.
1,"I really enjoyed the original with Brooke Shields and yes it is on my movies that are very hard to find list, however deemed this sequel just ok. Somethings they should just leave as they are."
1,Saw this once. That was enough.
1,They took theses movie a little too far this time. Everything would have been fine if they left it alone with just the kids. I really can't believe that dogs have the ability for complex thoughts.
1,omfg. what the hell was this. i didn't see the whole movie but i saw enough to confuse and anger me.
1,This is the worst Police Academy series I ever saw that the ones who keep doing totally stupid things very loudly.
1,This movie should never have been made in the first place. Elephant shit.
1,"It's not all bad. There is one reason to recommend it. It's shorter than ""Double Team"", the movie that Dennis Rodman made with Jean-Claude Van Damme."
1,"Sweet Jesus God Almighty, what have we here! Who in their right mind would even come close to imagining such an awful movie? What did the people involved with this film think they were doing? Were they even thinking at all? Were their careers in such bad shape that they needed for this movie to be made? And even then, don't they have any decency or moral fiber to speak of? God help them all!"
1,"The only good things to come out of this movie are Sharon Stone, Leslie Easterbrook, and Corinne Bohrer, simply because they are eye candy thoughout the whole picture; even though they only have brief scenes/shots. Otherwise, this movie is just the same running jokes as the first two, with many repeated ""favorite"" lines."
1,"Very limp and soppy romantic comedy about a couple wanting to have a baby, then breaking up in time after they can't have one then they meet other people and eventually after realising they do love each other they get back together again. I only saw this simply because it was a Wilder film and usually most of his films are good fun but this really is a film for the ladies haha not really funny, alittle slapstick here and there but mainly its a light hearted ladies flick about a young couple and their relationships with each other and others, more of a gentle drama directed by Leonard 'Mr Spock' Nimoy of all people!"
1,disney originals are always best!!! i hate it when the older animated disney films get modern remakes like this. they always suck!!
1,This was a piece of crapola. This was the worst sequel to a movie possible. It was soo dumb and had a horrible story to it. Shouldnt have even been made cause it was a disgrace to the original.
1,Lousy sequal (if you can even call it that) that gives us an overly perfect Cinderella in three lousy stories that make me cringe even thinking of them. Not even a remote chance I will watch this one again.
1,"Even in the world of merchandise tie-in animated movies, this Rainbow Brite outing is pretty terrible. One of the main points of the film revolves around the Big Bad tying a rope around a planet and towing it to her home with a spaceship. Yeah, okay. Then there are the unnecessary comic asides with two bumbling villains that don't work on any level. Over on the editing and scripting side, the action constantly shifts away from Rainbow Brite and her mission just to keep the ancillary characters fresh in the minds of the audience. Those minor scenes, though, last a whopping 30 to 45 seconds, never providing enough time for those sequences to do anything of importance. The end result is a film that goes beyond cheesy to so sugary sweet I wanted to get my teeth checked after watching it. Even other blatant money grabs of the decade like the Transformers and G.I. Joe movies included risk and, well, real world stakes. There's nothing like that here, if you include winter not being able to go away...and the people of Earth literally giving up because of the snow and grayness. Really?"
1,Lauren Bacall looks lost in what might be her most useless appearance in a film and the rest of the cast can't rise above this crappy script.
1,Christmas cinema at its very worst.
1,"Geez, I love Roberto Benigni's work in Life is Beautiful and The Tiger and the Snow, but this movie adaptation was awful, like probably the worst adaptation of a beloved classic I've ever seen. I know good directors can make bad movies, but never would I thought it would be this bad. (except for when Ron Howard directed The Grinch)"
1,"Benigni's follow up to the Oscar winner La Vita Ã© Bella is a disastrously expansive flick where everything is not measured well, everything is overwhelming and sometimes even laughable. Furthermore, Benigni as the young living marionette may have semed the right kind of bizarre casting a few years before the film was produced, but in 2002 it was already too late for him to play such a part."
1,"Creepy, unfunny and just plain terrible."
1,"""Homecoming""is a very good movie ... If you have nothing better to watch! After all what is the problem the characters and what is the problem of the actors and what terrible casting choice! Mischa Barton? Jessica Stroup? My God, what crap performances! Nothing convincing and mediocre! And the characters? How can anyone be so stupid as Elizabeth? Or so naive as Shelby? After all, did not realize that the villain hiding Elizabeth in her own home is asking to be arrested? Well, I can not criticize the characters because they do not exist, I have to blame is the direction, production, screenwriter ... By doing a story and totally incoherent gibberish that is! I feel the humiliation, but it's the truth! This movie sucks!"
1,"Really, really, really bad film making. The film is of a poor quality rarely seen. The director does not seem to realize that a scene can change without requiring an establishing shot -- actually, virtually the same establishing shot every time, showing the steeple of a church -- which is completely unnecessary because the ENTIRE STORY happens in the same monastery, so no one in the audience is likely to be asking, ""Where are they now?"" The makeup and special effects (i.e., ""blood"") look like things my sister and I did at Halloween when we were 10 years old. The acting? -- someone really raised the dead to cast this horror flick! Nevertheless, the story was slightly coherent and diverting, saving the film from a 1/2 star rating."
1,"This film makes no sense. I'll give it one star for the sniffing, because that was seriously creepy."
1,"And on the topic of ""horror movies that don't contribute much in any sense""...Â I really cannot think of anything constructive or interesting to say about Rest Stop. It's dull and the ending is infuriating. My friends and I had more fun discussing the heroine's big chin instead of anything the movie itself had to offer. No scares, no tension, not even any horror movie schadenfreude. This is a total waste of time."
1,It's as bad as you've heard.
1,It's one of those that is exactly what it looks like. Enjoyable wee-hours-of-the-night viewing.
1,For the life of me I really really cant get myself to like this movie as much as other people do. Sebastian irritates me to bits.
1,"A sports team packed with lovable misfits overcomes wacky antics, random problems and extreme adversity and somehow manages to defeat the top team in the league. Plot of every sports movie? Yeah, pretty much. The Big Green is an exercise in numbing ineptness."
1,"Plot of every sports movie? Yeah, pretty much. The Big Green is an exercise in numbing ineptness."
1,OMG this is forgettable.
1,This movie sucked...........................
1,"The only thing remotely funny about this is the way the actor who plays dumb Rick says the name Carl.... very good imitation of Andrew Lincoln. Tired jokes, bad acting and awful make up effects on the walkers.... Spoofs are getting very lazy nowadays...."
2,"You can see they tried to make an epic movie. But it lacks direction, it drags on for too long and it doesn't keep gettin' any better as the movie goes on."
2,"Although it's been advertised as a comedy...it is not. It has a few funny moments, but if you're looking for Tina Fey ""funny"" skip it. It's a good story based on a war correspondence life in Afghanistan."
2,"Bright, bubbly, breakneck: all defining characteristics of Disney's latest animated adventure. Sanctimonious, serious, seldom funny: other key traits that suffocate this family film until there's very little left to enjoy. With multiple ecosystems and a plethora of cultural subsets - mirroring our own society wouldn't you know - the anthropomorphic animal-world is conceptually interesting and beautifully animated, but the story told within this universe is disappointingly dull. The simple predators-and-prey-living-together plot device should've been ripe for subtle metaphors amongst zippy action and constant laughs, yet the film's themes - breaking down stereotypes, looking past race, being inclusive - are hammered home so heavy-handedly it feels like you're getting in trouble. A major issue is the lack of humour (or more accurately: successful humour) which, save for a truly hilarious sloth-centred sequence that had me in tears, is woefully misjudged and/or drowned out by the persistence of shoving a point down our throat. The muddled tone makes for a confusing viewing too; the unapologetic innocent nature of proceedings suggests this is aimed squarely at the toddler demographic, yet the Godfather and 'Breaking Bad' references are directly at odds with this. The infectiously optimistic bunny at the movie's heart, Judy Hopps (Ginnifer Goodwin), is a sweet and likable protagonist, however the mischievous fox who partners with Hopps, Nick Wilde (Jason Bateman), has more depth and charisma. A lower-rung Disney effort with a gratingly obvious agenda, Zootopia hints at brilliance but frustratingly falls way short."
2,"Disappointing. Big problems with the plot and the boy Christ was badly caste. Other actors were very good, but the weak plot points just kept the movie coming together for me. Didn't care for the role of the ""devil"" but it could have been used to firm up the seemingly unreasonable motivation of key characters such as Herod Antipas, but wasn't. Script was boring in many parts but my biggest criticism is the lack of humor. Why portray the young Christ as ""troubled?"""
2,"What makes this series so tough to watch is not only the shakiness of the entire premise of genetically-predetermined factions, but the blandness of the characters that populate this world. In this third installment, there is no character development and villains with the most laughable of intentions. We are meant to sympathize with Tris, but her character is so underwhelming in ""Allegiant,"" you can't help but shrug your shoulders at whatever happens to her or Four."
2,A great cast and great concept with a disappointing execution. The whole movie felt awkward and flowed slowly.
2,"I really like some of the imagery that director Bruce McDonald uses in his Halloween themed horror flick ""Hellions"". They set a good mood for the atmospheric shots. I just didn't care for the overall story much. Maybe next time the ddirector will be able to combine the two elements into a really good movie."
2,Too melodramatic for my taste. The gravity defying stunts too false probably the rage in asia.
2,"Energetic beginning and really sweet ending and a bore and obvious cliche center in this laugh free comedy that tries to be funny and lectures in one's self with a thin papered obnoxious supporting cast aside from Kevin Dunn. I did not laugh once and just watched this. Tackling on a premise I have seen in the 40 Year Old Virgin or Adventureland, a film that was actually funny, our two main characters Anne and Jeff try grow and change their personality with Anne turning into an alcoholic turrets girl and Jeff transforming into a douche after knocking a douche. Every other character is caricature of a stereotype from the nerds to the blond brainless female talking about her profile pic. I could not help, but to jeer at the middle which is a shame after laugh free, but charismatic opening."
2,"In its favor, the film is shot with a dreamlike atmosphere reminiscent of Terrence Malick. The problem is that the story never makes much sense and is too esoteric that it really doesn't connect with anyone."
2,"Meandering and uneventful, just like that, another interesting premise gone to waste. Nice performances though."
2,"The movie doesn't have much to offer besides the ending performance which is emotionally charged. I watched the movie expecting some great Choreography moves but was disappointed in that department. The movie only digs into the present day Iran situation for personal melodrama which was kind of boring. Either they should have focused on the dancing or the Iran situation, frankly Afshin Ghaffarian life is not dramatic enough to be made into a movie"
2,"Didn't make it through this one. Absolutely love the book but this translation feels wooden. Ironically, the animation is really wooden too. Disappointing."
2,"The Square takes a look at the civil unrest that effected Egypt during 2013. While much of the documentary is slow their are moments of tense confrontation that make the viewer feel as if they are with the protesters at the square. The Square though honorable in its efforts fails to really trap the viewer with its message of freedom and revolution as it becomes tedious and quite boring. Questions are posed and answered....answered,,,,answered,,,and answered again. In more capable hands The Square might have been an eye opening documentary that would trap the viewer instead I fought to keep my eyes open."
2,What is possibly a thoughtful social commentary on urban youth crime and skewed moral priorities in respectable households is severely impaired by a very sudden ambiguous ending.
2,"Now and then it does offer some insight into the country's social inequality and police brutality, but as a whole this is a cheap fantasy filled with nonsense (like a villain that seems more like a psychic) and naive optimism to make poor people believe that it is easy to have a happy ending."
2,"OK, let me just begin by saying I love the gorgeous, adorable, sexy Alice Eve and the charming, handsome Chris Evans (Hey, he's Captain America. Growing up, I WAS Captain America, or at least I thought so). But that's where the accolades end.Â This one appeared to be of a contract-obligation nature for the duo, or maybe because it's an actor's movie, the stars felt it was a go. But I guess if you like ninety minutes of conversation between two people, (ENDLESS conversation) then this movie is for you.Â Let me sum it up for you, and you tell me if you've seen this one before. Guy randomly meets trouble gal. She's wary of him. He slowly but surely endears himself to her (in Hollywood-script-only fashion) as he ends up spending an entire day with someone he just met. They both have relationship problems, realize they aren't going to have the dream they imagined, fall in love and find that dream fulfilled, maybe, for we only see the first day, so who knows?Â There's a lot of cliche relationship-falling-apart dialogue, shrugging of shoulders, heartfelt smiles and honest moments. Yes, it's the romantic movie you've seen dozens of times before but only SO much better. Hey, and I was puling for the kids. But little under an hour in, I was fast-forwarding. And guess what? when I stopped I hadn't missed anything. You get the picture."
2,"His personal story is not interesting at all, taking time from the bigger issue to be discussed. The audiovisual lenguage is very poor and the topic and cientific approach is very superficial in the way they handle different definitions of gender/discrimination/sexual differences. With more investigation it would have been more constructive to the audience."
2,"A plane crashes leaving a group of American soccer players stranded on a deserted tropical island. The attractivr cast clash with each other for control while wearing very little, making the audience feel fortunate that it wasn't a plane full of overeaters anonymous that crash landed. The script is so overdone while still being underwritten. It looks more like a Chippendales calander shoot than survivors trying find ways to live."
2,"A young woman directionlessly and disaffectedly spends a summer. Quebec has made one of the ""most French"" movies I have ever seen. Long shots, subtext-driven scenes, disaffected characters, existential angst - all the trappings are there, and yet even the most inaccessible of French cinema has an energy that's missing from Tu Dors Nicole. Overall, it's so subtle and pretentious that it will probably win an Oscar."
2,"A mediocre fandom documentary, even when it wants to be something more. Sadly, ""Back in Time"" is a horrible mish-mash of production history and modern day impact that never comes to a confluence. It fails to be a nice making-of documentary and it also fails to really delve deeply into the fandom and the film's overall impact. Instead we learn about penning the script, a few minutes about it's influence on ""Rick & Morty"", and then back to bringing the script to the producers. With a better timeline and editing prowess it could have been a quaint adventure through time, but instead we are left with bits and pieces of DeLorean stuck somewhere in the middle of nowhere."
2,"Not much of a story, ran out of ideas for a sequel, but cute nonetheless."
2,An uninteresting romance that relies on the drawn out longing looks of the actresses to get the emotion across.
